breakdown_value,stat,mae,rmse,r2,n_samples
False,goals,0.2739839255809784,0.3967388868331909,0.026040077209472656,7328
False,assists,0.4343690872192383,0.5324559807777405,-0.0017243623733520508,7328
False,points,0.5269466638565063,0.6707647442817688,0.07252460718154907,7328
False,shots,1.0557540655136108,1.3759711980819702,0.1615210771560669,7328
False,shotsOnGoal,1.0556820631027222,1.3757858276367188,0.16174697875976562,7328
False,hits,1.0503883361816406,1.469072937965393,0.03156250715255737,7328
False,blocks,0.7514310479164124,1.0124648809432983,0.164653480052948,7328
False,powerPlayPoints,0.13966864347457886,0.30111613869667053,0.040836334228515625,7328
False,plusMinus,0.8735401034355164,1.2138891220092773,-0.029145121574401855,7328
False,pim,0.7453358769416809,1.4223557710647583,0.012313485145568848,7328
False,timeOnIceSeconds,5.076115608215332,6.598907470703125,0.9996427893638611,7328
False,wins,0.035930417478084564,0.1161041185259819,0.3838779330253601,7328
False,saves,0.47288748621940613,2.00369930267334,0.8964952826499939,7328
False,shotsAgainst,0.5175437331199646,2.087998628616333,0.9079642295837402,7328
False,goalsAgainst,0.10147228837013245,0.4114589989185333,0.7239834070205688,7328
False,savePct,0.012606285512447357,0.031321704387664795,0.9765647053718567,7328
False,shutouts,0.014220472425222397,0.049504801630973816,-0.0001742839813232422,7328
True,goals,0.28953051567077637,0.4322304129600525,0.03871196508407593,7327
True,assists,0.4518752098083496,0.5627967715263367,0.04680061340332031,7327
True,points,0.5477593541145325,0.7078946232795715,0.09318679571151733,7327
True,shots,1.0964417457580566,1.4536070823669434,0.17393344640731812,7327
True,shotsOnGoal,1.09636390209198,1.4534215927124023,0.17414426803588867,7327
True,hits,1.0757157802581787,1.5415465831756592,0.025379955768585205,7327
True,blocks,0.7502988576889038,1.0076318979263306,0.16859161853790283,7327
True,powerPlayPoints,0.16068802773952484,0.3360861539840698,0.047189414501190186,7327
True,plusMinus,0.8600762486457825,1.191999912261963,0.0011444091796875,7327
True,pim,0.7282953262329102,1.394065260887146,0.009969234466552734,7327
True,timeOnIceSeconds,4.953128337860107,6.424647331237793,0.9996655583381653,7327
True,wins,0.03776418790221214,0.12357701361179352,0.47795212268829346,7327
True,saves,0.4575697183609009,1.9255632162094116,0.8960574865341187,7327
True,shotsAgainst,0.4973929822444916,1.96824312210083,0.9091331362724304,7327
True,goalsAgainst,0.09475547820329666,0.36582887172698975,0.7077653408050537,7327
True,savePct,0.012973146513104439,0.028871141374111176,0.9806110858917236,7327
True,shutouts,0.015482022427022457,0.06064032390713692,0.03405141830444336,7327
