breakdown_value,stat,mae,rmse,r2,n_samples
L,goals,0.331827849149704,0.46810099482536316,0.03702956438064575,3500
L,assists,0.42361968755722046,0.5265665054321289,0.03851670026779175,3500
L,points,0.5586318969726562,0.6967431306838989,0.08389163017272949,3500
L,shots,1.1135616302490234,1.480641484260559,0.15939044952392578,3500
L,shotsOnGoal,1.1136095523834229,1.480659008026123,0.15937066078186035,3500
L,hits,1.1637940406799316,1.5804311037063599,-0.0030059814453125,3500
L,blocks,0.6268413066864014,0.7392687201499939,-0.062490224838256836,3500
L,powerPlayPoints,0.1700739562511444,0.3394661545753479,0.04417002201080322,3500
L,plusMinus,0.8057051301002502,1.1218243837356567,0.0017687678337097168,3500
L,pim,0.6458089351654053,1.4257748126983643,-0.02193140983581543,3500
L,timeOnIceSeconds,6.478733062744141,8.042863845825195,0.998923993203789,3500
L,wins,0.012522961013019085,0.019901853054761887,0.0,3500
L,saves,0.4120587408542633,0.5139854550361633,0.0,3500
L,shotsAgainst,0.44247448444366455,0.556640625,0.0,3500
L,goalsAgainst,0.06018377095460892,0.10060811042785645,0.0,3500
L,savePct,0.026403285562992096,0.03889196366071701,0.0,3500
L,shutouts,0.0061978064477443695,0.006338764913380146,0.0,3500
D,goals,0.20362162590026855,0.28714898228645325,-0.06774938106536865,6959
D,assists,0.46806731820106506,0.5449342727661133,-0.015229105949401855,6959
D,points,0.5458725690841675,0.6182858943939209,-0.02131831645965576,6959
D,shots,1.0330495834350586,1.2560077905654907,0.04291504621505737,6959
D,shotsOnGoal,1.0331565141677856,1.25608491897583,0.04279756546020508,6959
D,hits,0.9998008608818054,1.231056809425354,-0.05549919605255127,6959
D,blocks,1.0001929998397827,1.2660319805145264,0.0451473593711853,6959
D,powerPlayPoints,0.13380007445812225,0.2643734812736511,0.03600376844406128,6959
D,plusMinus,0.9309902191162109,1.2557346820831299,0.0007548332214355469,6959
D,pim,0.655595064163208,1.4628565311431885,-0.051859378814697266,6959
